what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415630253632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630267187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630487204
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415630487224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630489719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630538700
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415630538807
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415630538956
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1415630558997
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1415630563855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630571400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630615828
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415630615850
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415630629833
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415630636996
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415630643013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630654636
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415630677575
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415630677632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630677673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1415630677704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630679767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630685531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415630686491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1415630687585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630689511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630694205
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415630694416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630696323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415630699855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415630700273
