what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1415191231059
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1415191231087
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1415191231112
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1415191231189
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1415191231283
started,bundle,org.eclipse.mylyn.java.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.ui",1415191231294
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1415191231421
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1415191231424
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1415191231868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1415191235148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415191238249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415191255112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191268413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191376365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191499315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191602308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191620855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191622072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415191634343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415191701599
started,bundle,net.sf.jautodoc,1.10.0,"net.sf.jautodoc",1415191710361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191710398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191710628
executed,command,net.sf.jautodoc,1.10.0,"net.sf.jautodoc.commands.AddHeader",1415191710631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1415191712311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191714216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191714301
executed,command,net.sf.jautodoc,1.10.0,"net.sf.jautodoc.commands.AddJavadoc",1415191714303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191747145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191786845
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415191811915
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415191814623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191825950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415191832476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415191838722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1415191864706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1415191870306
