what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1415189271613
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1415189271614
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1415189271614
started,bundle,com.atlassian.connector.eclipse.branding.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.branding.ui",1415189271614
started,bundle,com.atlassian.connector.eclipse.commons.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.commons.ui",1415189271614
started,bundle,com.atlassian.connector.eclipse.jira.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.core",1415189271614
started,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.ui",1415189271614
started,bundle,com.atlassian.connector.eclipse.monitor.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.monitor.ui",1415189271614
started,bundle,com.collabnet.ee.tracker.core,3.4.0,"com.collabnet.ee.tracker.core",1415189271614
started,bundle,com.collabnet.ee.tracker.ui,3.4.0,"com.collabnet.ee.tracker.ui",1415189271614
started,bundle,com.collabnet.issuezilla.mylyn.core,3.0.2,"com.collabnet.issuezilla.mylyn.core",1415189271614
started,bundle,com.collabnet.issuezilla.mylyn.ui,3.2.0.1,"com.collabnet.issuezilla.mylyn.ui",1415189271614
started,bundle,com.collabnet.subversion,3.3.2,"com.collabnet.subversion",1415189271614
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1415189271614
started,bundle,com.collabnet.tracker.mylyn.core,3.0.0,"com.collabnet.tracker.mylyn.core",1415189271614
started,bundle,com.collabnet.tracker.mylyn.ui,3.4.0,"com.collabnet.tracker.mylyn.ui",1415189271614
started,bundle,com.eviware.soapui.eclipse,4.0.1,"com.eviware.soapui.eclipse",1415189271614
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1415189271614
started,bundle,com.springsource.sts.ide.configurator,2.9.2.201205071000-RELEASE,"com.springsource.sts.ide.configurator",1415189271614
started,bundle,com.springsource.sts.ide.ui,2.9.2.201205071000-RELEASE,"com.springsource.sts.ide.ui",1415189271614
started,bundle,com.springsource.sts.maven,2.9.2.201205071000-RELEASE,"com.springsource.sts.maven",1415189271614
started,bundle,com.springsource.sts.maven.legacy,2.9.2.201205071000-RELEASE,"com.springsource.sts.maven.legacy",1415189271614
started,bundle,com.springsource.sts.roo.core,2.9.2.201205071000-RELEASE,"com.springsource.sts.roo.core",1415189271614
