what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1415799375120
stopped,bundle,org.eclipse.ajdt.examples,2.2.1.e37x-20120716-0900,"org.eclipse.ajdt.examples",1415799375120
stopped,bundle,org.eclipse.ajdt.core,2.2.1.e37x-20120716-0900,"org.eclipse.ajdt.core",1415799375120
stopped,bundle,org.aspectj.ajde,1.7.0.20120703164200,"org.aspectj.ajde",1415799375120
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1415799375120
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1415799375121
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1415799375121
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1415799375121
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1415799375121
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1415799375121
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.0.v20120612-0600,"org.eclipse.mylyn.ide.ant",1415799375121
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1415799375128
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1415799375128
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20120608-0554,"org.eclipse.emf.importer.ecore",1415799375129
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20120608-0554,"org.eclipse.emf.importer.java",1415799375129
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20120608-0554,"org.eclipse.emf.importer.rose",1415799375129
stopped,bundle,org.eclipse.emf.ant,2.7.0.v20120608-0554,"org.eclipse.emf.ant",1415799375129
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1415799375129
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1415799375129
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxb.core",1415799375129
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1415799375129
stopped,bundle,org.hibernate.eclipse,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse",1415799376286
stopped,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1415799376286
stopped,bundle,org.eclipse.mylyn.java.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.java.ui",1415799376303
stopped,bundle,org.eclipse.mylyn.ide.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.ide.ui",1415799376303
stopped,bundle,org.eclipse.mylyn.resources.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.resources.ui",1415799376305
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.7.0.v20120612-0600,"org.eclipse.mylyn.wikitext.ui",1415799376306
stopped,bundle,org.eclipse.mylyn.wikitext.core,1.7.0.v20120612-0600,"org.eclipse.mylyn.wikitext.core",1415799376306
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.103.v201102260635,"org.eclipse.wst.command.env.ui",1415799376306
stopped,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1415799376306
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1415799376306
stopped,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1415799376306
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1415800831384
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1415800831384
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1415800831384
started,bundle,com.atlassian.connector.eclipse.branding.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.branding.ui",1415800831384
started,bundle,com.atlassian.connector.eclipse.commons.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.commons.ui",1415800831384
started,bundle,com.atlassian.connector.eclipse.jira.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.core",1415800831384
started,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.ui",1415800831384
started,bundle,com.atlassian.connector.eclipse.monitor.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.monitor.ui",1415800831384
started,bundle,com.collabnet.ee.tracker.core,3.4.0,"com.collabnet.ee.tracker.core",1415800831384
started,bundle,com.collabnet.ee.tracker.ui,3.4.0,"com.collabnet.ee.tracker.ui",1415800831384
started,bundle,com.collabnet.issuezilla.mylyn.core,3.0.2,"com.collabnet.issuezilla.mylyn.core",1415800831384
started,bundle,com.collabnet.issuezilla.mylyn.ui,3.2.0.1,"com.collabnet.issuezilla.mylyn.ui",1415800831384
started,bundle,com.collabnet.subversion,3.3.2,"com.collabnet.subversion",1415800831384
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1415800831384
started,bundle,com.collabnet.tracker.mylyn.core,3.0.0,"com.collabnet.tracker.mylyn.core",1415800831384
started,bundle,com.collabnet.tracker.mylyn.ui,3.4.0,"com.collabnet.tracker.mylyn.ui",1415800831384
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1415800831384
started,bundle,com.springsource.sts.core,2.9.2.201205071000-RELEASE,"com.springsource.sts.core",1415800831384
started,bundle,com.springsource.sts.ide.configurator,2.9.2.201205071000-RELEASE,"com.springsource.sts.ide.configurator",1415800831384
started,bundle,com.springsource.sts.ide.ui,2.9.2.201205071000-RELEASE,"com.springsource.sts.ide.ui",1415800831384
started,bundle,com.springsource.sts.maven,2.9.2.201205071000-RELEASE,"com.springsource.sts.maven",1415800831384
started,bundle,com.springsource.sts.roo.ui,2.9.2.201205071000-RELEASE,"com.springsource.sts.roo.ui",1415800831384
started,bundle,com.springsource.sts.ui,2.9.2.201205071000-RELEASE,"com.springsource.sts.ui",1415800831384
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1415800831384
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1415800831384
started,bundle,org.aspectj.ajde,1.7.0.20120703164200,"org.aspectj.ajde",1415800831384
started,bundle,org.eclipse.ajdt.core,2.2.1.e37x-20120716-0900,"org.eclipse.ajdt.core",1415800831384
started,bundle,org.eclipse.ajdt.ui,2.2.1.e37x-20120716-0900,"org.eclipse.ajdt.ui",1415800831384
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1415800831384
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1415800831384
started,bundle,org.eclipse.contribution.weaving.jdt,2.2.1.e37x-20120716-0900,"org.eclipse.contribution.weaving.jdt",1415800831384
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1415800831384
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1415800831384
