what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612597042
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1415612655644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1415612656094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612668404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1415612670610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1415612671321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612673064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612673692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612674089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612674523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612674953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1415612708801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1415612709134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415612710410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1415612717787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612725696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1415612732992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612735072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612735498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612735885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612736278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415612736632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1415612773667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1415612775259
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415612776870
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1415612780625
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415612783256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415612786079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415612786169
executed,command,net.sf.jautodoc,1.10.0,"net.sf.jautodoc.commands.AddJavadoc",1415612786171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1415612792715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415612796609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415620993086
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415620995180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621002358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621010536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621019814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621024630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621027978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621035502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621036831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621073026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621081420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621135083
error,log,,,"Internal Error",1415621157427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621176331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415621184949
